関数名,概要,引数名,型,入力/出力,説明,戻り値
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,
,,mode,sai_stats_mode_t,入力,Statistics mode,
,,counters,uint64_t *,出力,Array of resulting counter values.,

sai_clear_switch_stats_fn,Clear switch statistics counters.,switch_id,sai_object_id_t,入力,Switch id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,number_of_counters,uint32_t,入力,Number of counters in the array,
,,counter_ids,sai_stat_id_t *,入力,Specifies the array of counter ids,

sai_create_switch_tunnel_fn,Create switch scoped tunnel,switch_tunnel_id,sai_object_id_t *,出力,The Switch Tunnel Object ID,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,switch_id,sai_object_id_t,入力,Switch id,
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力,Array of attributes,

sai_remove_switch_tunnel_fn,Remove/disconnect Switch scope tunnel,switch_tunnel_id,sai_object_id_t,入力,The Switch Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error

sai_set_switch_tunnel_attribute_fn,Set switch scoped tunnel attribute value,switch_tunnel_id,sai_object_id_t,入力,Switch Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr,sai_attribute_t *,入力,Switch tunnel attribute,

sai_get_switch_tunnel_attribute_fn,Get switch scoped tunnel attribute value,switch_tunnel_id,sai_object_id_t,入力,Switch Tunnel id,`SAI_STATUS_SUCCESS` on success, failure status code on error
,,attr_count,uint32_t,入力,Number of attributes,
,,attr_list,sai_attribute_t *,入力/出力,-,

