Object Type,Attribute Name,Brief,Type,Flags,Objects,Default
"","SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6_WORD2","Src IPv6 Address 63:32 32 bits","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6_WORD1","Src IPv6 Address 31:0 32 bits","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6_WORD0","Dst IPv6 Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6","Dst IPv6 Address 127:96 32 bits","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6_WORD3","Dst IPv6 Address 95:64 32 bits","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6_WORD2","Dst IPv6 Address 63:32 32 bits","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6_WORD1","Dst IPv6 Address 31:0 32 bits","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6_WORD0","Inner Src IPv6 Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_SRC_IPV6","Inner Dst IPv6 Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_DST_IPV6","Src MAC Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_SRC_MAC","Dst MAC Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_DST_MAC","Src IPv4 Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_SRC_IP","Dst IPv4 Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_DST_IP","Inner Src IPv4 Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_SRC_IP","Inner Dst IPv4 Address","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_DST_IP","In-Ports","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_IN_PORTS","Out-Ports","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_OUT_PORTS","In-Port","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_IN_PORT","Out-Port","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_OUT_PORT","Source Port","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_SRC_PORT","Outer Vlan Id","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_OUTER_VLAN_ID","Outer Vlan Priority","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_OUTER_VLAN_PRI","Outer Vlan CFI","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_OUTER_VLAN_CFI","Inner Vlan Id","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_VLAN_ID","Inner Vlan Priority","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_VLAN_PRI","Inner Vlan CFI","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_VLAN_CFI","L4 Src Port","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_L4_SRC_PORT","L4 Dst Port","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_L4_DST_PORT","Inner L4 Src Port","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_L4_SRC_PORT","Inner L4 Dst Port","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_L4_DST_PORT","EtherType","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ETHER_TYPE","Inner EtherType","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_ETHER_TYPE","IP Protocol","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_IP_PROTOCOL","Inner IP Protocol","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_IP_PROTOCOL","IP Identification","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_IP_IDENTIFICATION","IP DSCP","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_DSCP","IP ECN","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ECN","IP TTL","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_TTL","IP TOS","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_TOS","IP Flags","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_IP_FLAGS","TCP Flags","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_TCP_FLAGS","IP Type","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ACL_IP_TYPE","IP Frag","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ACL_IP_FRAG","IPv6 Flow Label","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_IPV6_FLOW_LABEL","Class-of-Service (Traffic Class)","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_TC","ICMP Type","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ICMP_TYPE","ICMP Code","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ICMP_CODE","ICMP Type for IPv6","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ICMPV6_TYPE","ICMP Code for IPv6","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ICMPV6_CODE","Vlan Tags","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_PACKET_VLAN","Tunnel VNI","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_TUNNEL_VNI","Match on packet that has vlan tag","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_HAS_VLAN_TAG","SCI value in MACsec packet SecTAG","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MACSEC_SCI","Label value for MPLS label on the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL0_LABEL","TTL value for MPLS label on the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL0_TTL","EXP value for MPLS label on the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL0_EXP","BOS bit value for MPLS label on the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL0_BOS","Label value for second MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL1_LABEL","TTL value for second MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL1_TTL","EXP value for second MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL1_EXP","BOS bit value for second MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL1_BOS","Label value for third MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL2_LABEL","TTL value for third MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL2_TTL","EXP value for third MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL2_EXP","BOS bit value for third MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL2_BOS","Label value for fourth MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL3_LABEL","TTL value for fourth MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL3_TTL","EXP value for fourth MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL3_EXP","BOS bit value for fourth MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL3_BOS","Label value for fifth MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL4_LABEL","TTL value for fifth MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL4_TTL","EXP value for fifth MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL4_EXP","BOS bit value for fifth MPLS label from the top","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL4_BOS","FDB DST user meta data","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_FDB_DST_USER_META","ROUTE DST User Meta data","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ROUTE_DST_USER_META","Neighbor DST User metadata","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_NEIGHBOR_DST_USER_META","Port User metadata","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_PORT_USER_META","Vlan User metadata","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_VLAN_USER_META","Metadata carried from previous ACL Stage","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ACL_USER_META","DST MAC address match in FDB","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_FDB_NPU_META_DST_HIT","DST IP address match in neighbor table","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_NEIGHBOR_NPU_META_DST_HIT","DST IP address match in Route table","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_ROUTE_NPU_META_DST_HIT","Base Transport Header opcode field","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_BTH_OPCODE","Ack_extented Transport Header syndrome field","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_AETH_SYNDROME","User Defined Field Groups","sai_object_id_t","CREATE_ONLY","SAI_OBJECT_TYPE_UDF_GROUP","SAI_NULL_OBJECT_ID"
"","SAI_ACL_USER_DEFINED_FIELD_ATTR_ID_RANGE","","","","",""
"","SAI_ACL_TABLE_ATTR_USER_DEFINED_FIELD_GROUP_MIN","User Defined Field Groups end","sai_object_id_t","CREATE_ONLY","SAI_OBJECT_TYPE_UDF_GROUP","SAI_NULL_OBJECT_ID"
"","SAI_ACL_TABLE_ATTR_USER_DEFINED_FIELD_GROUP_MAX","Range type defined","sai_s32_list_t sai_acl_range_type_t","CREATE_ONLY","","empty"
"","SAI_ACL_TABLE_ATTR_FIELD_ACL_RANGE_TYPE","IPv6 Next Header","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_IPV6_NEXT_HEADER","GRE key","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_GRE_KEY","TAM INT type","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_TAM_INT_TYPE","Inner Src MAC","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_SRC_MAC","Inner Dst MAC","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_INNER_DST_MAC","VRF_ID","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_VRF_ID","IPMC_TABLE_HIT fields.","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_IPMC_NPU_META_DST_HIT","Tunnel terminated","bool","CREATE_ONLY","","false"
"","SAI_ACL_TABLE_ATTR_FIELD_TUNNEL_TERMINATED","End of ACL Table Match Field","","","",""
"","SAI_ACL_TABLE_ATTR_FIELD_END","ACL table entries associated with this table.","sai_object_list_t","READ_ONLY","SAI_OBJECT_TYPE_ACL_ENTRY",""
"","SAI_ACL_TABLE_ATTR_ENTRY_LIST","Available ACL entries for this table","sai_uint32_t","READ_ONLY","",""
"","SAI_ACL_TABLE_ATTR_AVAILABLE_ACL_ENTRY","Available ACL counters for this table","sai_uint32_t","READ_ONLY","",""
"","SAI_ACL_TABLE_ATTR_AVAILABLE_ACL_COUNTER","Match type for the table","sai_acl_table_match_type_t","CREATE_ONLY","","SAI_ACL_TABLE_MATCH_TYPE_TERNARY"
"","SAI_ACL_TABLE_ATTR_ACL_TABLE_MATCH_TYPE","Start of Table Match valid bits","","","",""
"","SAI_ACL_TABLE_ATTR_FIELD_VALID_BITS_START","Src IPv6 Valid bits","sai_acl_field_data_mask_t sai_ip6_t","CREATE_ONLY","","ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff"
"","SAI_ACL_TABLE_ATTR_FIELD_SRC_IPV6","","","","",""
"","SAI_ACL_TABLE_ATTR_FIELD_VALID_BITS_SRC_IPV6","Dst IPv6 Valid bits","sai_acl_field_data_mask_t sai_ip6_t","CREATE_ONLY","","ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff"
"","SAI_ACL_TABLE_ATTR_FIELD_DST_IPV6","","","","",""
"","SAI_ACL_TABLE_ATTR_FIELD_VALID_BITS_DST_IPV6","End of Table Match Field Mask","","","",""
"","SAI_ACL_TABLE_ATTR_FIELD_VALID_BITS_END","End of ACL Table attributes","","","",""
"","SAI_ACL_TABLE_ATTR_END","Custom range base value start","","","",""
"","SAI_ACL_TABLE_ATTR_CUSTOM_RANGE_START","End of Custom range base","","","",""
"","SAI_ACL_TABLE_ATTR_CUSTOM_RANGE_END","","","","",""
"acl_entry","SAI_ACL_ENTRY_ATTR_START","SAI ACL table object id","sai_object_id_t","MANDATORY_ON_CREATE | CREATE_ONLY","SAI_OBJECT_TYPE_ACL_TABLE",""
"","SAI_ACL_ENTRY_ATTR_TABLE_ID","Priority","","","",""
"","SAI_SWITCH_ATTR_ACL_ENTRY_MINIMUM_PRIORITY","","","","",""
"","SAI_SWITCH_ATTR_ACL_ENTRY_MAXIMUM_PRIORITY","","","","",""
"","SAI_SWITCH_ATTR_ACL_ENTRY_MINIMUM_PRIORITY","","sai_uint32_t","CREATE_AND_SET","","0"
"","SAI_ACL_ENTRY_ATTR_PRIORITY","Admin state","bool","CREATE_AND_SET","","true"
"","SAI_ACL_ENTRY_ATTR_ADMIN_STATE","Start of Rule Match Fields","","","",""
"","SAI_ACL_ENTRY_ATTR_FIELD_START","Src IPv6 Address","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6","Src IPv6 Address 127:96 32 bits","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6_WORD3","Src IPv6 Address 95:64 32 bits","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6_WORD2","Src IPv6 Address 63:32 32 bits","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6_WORD1","Src IPv6 Address 31:0 32 bits","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_SRC_IPV6_WORD0","Dst IPv6 Address","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6","Dst IPv6 Address 127:96 32 bits","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6_WORD3","Dst IPv6 Address 95:64 32 bits","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6_WORD2","Dst IPv6 Address 63:32 32 bits","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6_WORD1","Dst IPv6 Address 31:0 32 bits","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_DST_IPV6_WORD0","Inner Src IPv6 Address","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_SRC_IPV6","Inner Dst IPv6 Address","sai_acl_field_data_t sai_ip6_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_DST_IPV6","Src MAC Address","sai_acl_field_data_t sai_mac_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_SRC_MAC","Dst MAC Address","sai_acl_field_data_t sai_mac_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_DST_MAC","Src IPv4 Address","sai_acl_field_data_t sai_ip4_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_SRC_IP","Dst IPv4 Address","sai_acl_field_data_t sai_ip4_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_DST_IP","Inner Src IPv4 Address","sai_acl_field_data_t sai_ip4_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_SRC_IP","Inner Dst IPv4 Address","sai_acl_field_data_t sai_ip4_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_DST_IP","In-Ports (mask is not needed)","sai_acl_field_data_t sai_object_list_t","CREATE_AND_SET","SAI_OBJECT_TYPE_PORT","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_IN_PORTS","Out-Ports (mask is not needed)","sai_acl_field_data_t sai_object_list_t","CREATE_AND_SET","SAI_OBJECT_TYPE_PORT","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_OUT_PORTS","In-Port (mask is not needed)","sai_acl_field_data_t sai_object_id_t","CREATE_AND_SET","SAI_OBJECT_TYPE_PORT, SAI_OBJECT_TYPE_LAG","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_IN_PORT","Out-Port (mask is not needed)","sai_acl_field_data_t sai_object_id_t","CREATE_AND_SET","SAI_OBJECT_TYPE_PORT, SAI_OBJECT_TYPE_LAG","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_OUT_PORT","Source port which could be a physical or LAG port","sai_acl_field_data_t sai_object_id_t","CREATE_AND_SET","SAI_OBJECT_TYPE_PORT","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_SRC_PORT","Outer Vlan Id (12 bits)","sai_acl_field_data_t sai_uint16_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_OUTER_VLAN_ID","Outer Vlan Priority (3 bits)","sai_acl_field_data_t sai_uint8_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_OUTER_VLAN_PRI","Outer Vlan CFI (1 bit)","sai_acl_field_data_t sai_uint8_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_OUTER_VLAN_CFI","Inner Vlan Id (12 bits)","sai_acl_field_data_t sai_uint16_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_VLAN_ID","Inner Vlan Priority (3 bits)","sai_acl_field_data_t sai_uint8_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_VLAN_PRI","Inner Vlan CFI (1 bit)","sai_acl_field_data_t sai_uint8_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_VLAN_CFI","L4 Src Port","sai_acl_field_data_t sai_uint16_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_L4_SRC_PORT","L4 Dst Port","sai_acl_field_data_t sai_uint16_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_L4_DST_PORT","Inner L4 Src Port","sai_acl_field_data_t sai_uint16_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_L4_SRC_PORT","Inner L4 Dst Port","sai_acl_field_data_t sai_uint16_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_L4_DST_PORT","EtherType","sai_acl_field_data_t sai_uint16_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_ETHER_TYPE","Inner EtherType","sai_acl_field_data_t sai_uint16_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_ETHER_TYPE","IP Protocol","sai_acl_field_data_t sai_uint8_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_IP_PROTOCOL","Inner IP Protocol","sai_acl_field_data_t sai_uint8_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_INNER_IP_PROTOCOL","IP Identification","sai_acl_field_data_t sai_uint16_t","CREATE_AND_SET","","disabled"
"","SAI_ACL_ENTRY_ATTR_FIELD_IP_IDENTIFICATION","IP DSCP (6 bits)","sai_acl_field_data_t sai_uint8_t","CREATE_AND_SET","","disabled"
